"Time spent on self study","Time spent on social media","Time spent on TV","Total time spent on social media and TV","Study affected by social media"
"2","5","0","5","true"
"8","1","0","1","false"
"1","3","2","5","true"
"3","2","0","2","false"
"6","4","0","4","false"
"0","2","0","2","true"
"4","0","1","1","false"
"3","3","0","3","false"
"1","3","1","4","true"
"3","3","2","5","true"
"4","2","0","2","false"
"1","1","2","3","true"
"2","2","3","5","true"
"2","0","4","4","true"
"2","3","0","3","true"
"3","4","2","6","true"
"1","0","0","0","false"
"3","4","0","4","true"
"2","0","2","2","false"
"3","2","1","3","false"
"1","2","1","3","true"
"2","1","0","1","false"
"2","4","1","5","true"
"4","3","0","3","false"
"0","0","0","0","false"
"5","0","0","0","false"
"3","5","5","10","true"
"4","2","1","3","false"
"5","1","0","1","false"
"2","1","2","3","true"
"3","0","1","1","false"
"3","0","0","0","false"
"0","1","8","9","true"
"8","0","0","0","false"
"4","4","0","4","false"
"2","0","0","0","false"
"4","1","0","1","false"
"8","2","0","2","false"
"4","8","3","11","true"
"1","1","1","2","true"
"1","1","0","1","false"
"5","1","1","2","false"
"1","2","0","2","true"
"10","0","2","2","false"
"6","2","0","2","false"
"3","1","0","1","false"
"0","6","0","6","true"
"3","1","1","2","false"
"0","1","3","4","true"
"1","5","0","5","true"
"6","3","0","3","false"
"2","1","4","5","true"
"1","0","2","2","true"
"8","0","1","1","false"
"1","4","0","4","true"
"5","1","2","3","false"
"11","5","0","5","false"
"4","0","0","0","false"
"1","1","3","4","true"
"2","1","1","2","false"
"0","2","3","5","true"
"3","1","2","3","false"
"0","3","1","4","true"
"4","1","3","4","false"
"2","2","5","7","true"
"2","3","1","4","true"
"2","0","1","1","false"
"2","2","1","3","true"
"2","7","2","9","true"
"2","0","3","3","true"
"3","0","2","2","false"
"7","0","0","0","false"
"5","2","1","3","false"
"3","2","2","4","true"
"0","5","1","6","true"
"2","1","3","4","true"
"0","0","2","2","true"
"6","0","0","0","false"
"4","1","2","3","false"
"3","4","3","7","true"
"4","1","1","2","false"
"0","3","2","5","true"
"0","0","1","1","true"
"4","3","1","4","false"
